sessao_id,data_acesso,hora_acesso,dia_semana,origem_trafego,dispositivo,tempo_carregamento_seg,tempo_pagina_produto,visualizacoes_reviews,adicionou_carrinho,concluiu_compra,valor_pedido,cupom_usado,margem_percentual,ticket_medio_calculado,taxa_conversao_registrada,prob_adicao_carrinho_prevista,score_qualidade_visita,categoria_produto,uf_cliente,tipo_usuario,canal_aquisicao,conversao_final
106205,2025-04-26T14:00:00.000000000,26:30:00,terca,Email,mob,3.11,78.71,16,1,0,74.29,Não,33.89,117.05,-0.7,1.16,97.11,beleza,RS,recorrente,SEO,0
118870,2025-02-13T10:00:00.000000000,12:00,terca,Paid,mob,1.61,80.21,5,1,1,372.23,sim,53.84,361.13,137.24,1.9,11.94,eletronico,PE,Novo,SEO,1
113931,2025-04-12T09:00:00.000000000,12:00,doming,seo,Desktop,5.38,52.37,6,0,0,382.6,0,24.18,342.31,74.21,0.74,12.35,BELEZA,PR,recorrente,Direct,0
107188,2025-01-11T11:00:00.000000000,12:00,doming,Dirct,MOBILE,4.66,124.44,2,1,1,470.48,sim,24.34,498.68,101.6,0.92,18.66,casa,SC,recorrente,Ads,1
102697,2025-02-04T16:00:00.000000000,99:13:00,seg,paid,desk,4.4,68.63,20,0,0,114.34,nao,18.29,118.38,44.97,0.01,4.44,BELEZA,BA,REC,Social,0
115696,2025-01-19T07:00:00.000000000,12:00,seg,insta,mobile,3.34,78.91,2,1,1,138.41,nao,12.42,165.73,60.12,1.36,38.03,casa,SP,recorrente,Direct,1
107971,2025-03-08T16:00:00.000000000,12:00,2feira,insta,desktop,6.77,23.99,19,0,0,312.6,SIM,46.03,236.39,73.6,1.99,82.51,moda,PR,novo,SEO,0
111825,2025-02-14T03:00:00.000000000,12:00,seg,email,MOBILE,4.64,103.56,14,0,0,302.21,sim,17.25,319.5,47.02,-0.34,92.04,casa,RJ,recorrente,Email,0
112390,2025-01-27T11:00:00.000000000,12:00,terca,Dirct,cel,1.88,101.52,14,1,1,256.51,0,02.09,301.15,58.16,01.07,28.54,eletronicos,SC,recorrente,Email,1
105886,2025-04-10T09:00:00.000000000,12:00,seg,email,desk,4.79,17.93,20,0,0,219.78,0,14.63,229.88,101.28,-0.22,89.57,moda,PE,novo,Social,0
107311,2025-04-12T22:00:00.000000000,12:00,terca,Email,Desktop,6.31,29.19,14,1,1,155.82,Não,37.45,104.52,84.59,1.58,23.52,moda,RS,REC,Direct,0
118454,2025-01-27T23:00:00.000000000,12:00,2feira,Direct,desktop,3.81,76.99,2,1,1,296.86,0,7.8,345.64,18.68,0.69,20.49,eletronicos,PE,novo,Social,1
115512,2025-02-02T16:00:00.000000000,12:00,doming,ORGANIC,MOBILE,3.91,53.58,6,1,1,0.0,0,46.97,46.89,19.28,1.9,45.21,casa,MG,recorrente,Ads,0
117386,2025-04-04T03:00:00.000000000,26:30:00,2feira,Email,Desktop,4.95,23.39,0,0,1,241.24,nao,36.96,176.51,-11.71,0.96,69.15,eletronicos,SP,novo,Email,0
102694,2025-03-14T21:00:00.000000000,99:13:00,doming,Paid,desk,5.55,67.58,17,1,1,385.29,1,27.04,316.08,-12.08,0.74,81.26,eletronicos,SP,recorrente,Email,0
107282,2025-01-10T19:00:00.000000000,12:00,seg,email,MOBILE,4.95,89.62,0,1,1,173.78,cupom,14.86,135.05,60.09,1.41,52.9,eletronicos,RS,recorrente,Ads,1
101474,2025-03-01T07:00:00.000000000,12:00,terca,Direct,MOBILE,3.36,60.43,7,0,1,261.36,1,15.09,271.4,124.48,0.14,2.93,eletronico,RJ,recorrente,Social,0
119463,2025-04-10T22:00:00.000000000,12:00,seg,email,desk,5.36,42.29,8,0,1,604.04,cupom,35.95,574.47,25.58,0.68,47.47,BELEZA,RS,recorrente,Ads,0
113273,2025-04-20T10:00:00.000000000,12:00,terca,seo,mobile,3.61,77.12,9,0,1,118.66,sim,29.64,83.62,3.38,1.18,1.89,eletronico,PE,REC,Direct,0
104490,2025-03-27T02:00:00.000000000,12:00,2feira,Email,mob,3.51,52.11,2,1,0,220.39,1,18.43,143.02,43.98,1.98,72.91,casa,RJ,recorrente,SEO,1
116288,2025-01-22T05:00:00.000000000,26:30:00,doming,Paid,Desktop,6.47,48.27,9,0,1,323.86,1,0.74,337.82,142.64,1.21,59.12,eletronico,BA,novo,Direct,0
116109,2025-01-11T12:00:00.000000000,12:00,2feira,Social,cel,3.4,78.38,4,1,0,493.84,0,31.9,562.36,115.92,1.69,58.47,beleza,SC,novo,Ads,1
106417,2025-04-17T03:00:00.000000000,99:13:00,terca,Email,desktop,2.39,118.62,9,1,0,413.55,Não,4.16,403.23,31.62,1.73,27.84,moda,RS,recorrente,Social,1
113617,2025-01-06T01:00:00.000000000,12:00,2feira,paid,Desktop,5.1,116.4,8,0,1,490.53,sim,31.49,563.24,77.87,01.09,96.88,casa,SP,recorrente,SEO,0
102021,2025-01-27T21:00:00.000000000,12:00,doming,email,Desktop,2.18,70.52,0,0,1,422.23,SIM,19.99,395.99,119.24,1.68,49.78,beleza,SC,recorrente,Social,0
109421,2025-01-30T22:00:00.000000000,12:00,seg,Dirct,Desktop,6.3,50.53,9,1,1,198.21,1,19.97,321.22,118.79,0.97,94.45,BELEZA,SP,novo,SEO,0
111089,2025-02-28T00:00:00.000000000,99:13:00,seg,Paid,Desktop,4.21,64.04,5,1,0,220.61,cupom,20.51,139.45,94.66,1.67,68.78,BELEZA,SC,novo,SEO,1
100616,2025-01-22T08:00:00.000000000,12:00,2feira,Paid,desktop,06.07,74.17,12,0,0,289.89,0,12.2,319.2,72.51,0.29,6.49,casa,MG,novo,Email,0
115203,2025-04-19T01:00:00.000000000,12:00,doming,Dirct,cel,04.04,90.4,13,0,0,331.32,sim,21.75,302.48,23.0,1.29,23.69,moda,PE,recorrente,SEO,0
117895,2025-03-19T01:00:00.000000000,12:00,doming,insta,mob,1.99,54.34,16,0,0,466.98,1,33.1,495.74,57.41,1.9,60.24,casa,MG,novo,Social,0
114119,2025-02-08T03:00:00.000000000,12:00,seg,ORGANIC,desk,1.65,61.1,3,1,0,240.99,sim,26.82,132.02,9.54,-0.43,70.66,BELEZA,MG,novo,Ads,1
111472,2025-02-26T01:00:00.000000000,26:30:00,doming,paid,Desktop,2.16,75.88,8,0,0,350.67,nao,32.69,333.73,40.36,-0.03,51.73,eletronicos,SP,REC,Ads,0
119582,2025-01-20T02:00:00.000000000,12:00,doming,Dirct,Desktop,6.26,21.38,15,1,0,425.99,nao,22.71,480.95,89.74,1.68,72.26,moda,PE,Novo,Ads,0
107806,2025-03-10T05:00:00.000000000,12:00,doming,Direct,cel,03.02,60.81,17,0,0,62.47,SIM,24.21,103.52,-19.96,1.22,27.56,BELEZA,PE,novo,Ads,0
108295,2025-04-13T20:00:00.000000000,12:00,2feira,seo,mobile,5.74,73.64,8,0,0,345.23,Não,11.36,384.53,111.24,1.15,42.62,casa,RJ,REC,Direct,0
107093,2025-02-03T22:00:00.000000000,12:00,doming,paid,mobile,6.15,93.97,7,0,1,310.18,sim,5.83,350.2,129.76,-0.2,64.34,eletronicos,PE,novo,SEO,0
109136,2025-03-01T18:00:00.000000000,12:00,seg,Email,mob,0.65,73.22,18,0,1,243.27,0,52.56,202.73,51.36,-0.09,98.47,beleza,RJ,Novo,Direct,0
113039,2025-04-27T11:00:00.000000000,12:00,seg,Email,mobile,3.12,37.68,12,0,1,224.64,Não,30.27,222.89,85.78,-0.85,65.6,casa,RS,Novo,Email,0
109876,2025-02-24T07:00:00.000000000,12:00,2feira,Dirct,desk,3.69,10.98,16,0,0,27.27,1,42.29,88.28,64.29,-0.25,38.75,moda,RS,REC,Ads,0
106940,2025-01-13T03:00:00.000000000,12:00,terca,Direct,Desktop,6.85,27.39,3,0,0,78.51,0,17.95,-24.92,59.03,-0.58,20.23,beleza,PR,recorrente,SEO,0
112147,2025-02-10T16:00:00.000000000,12:00,seg,Email,MOBILE,7.12,3.36,3,1,0,289.99,0,50.73,356.0,36.45,-0.8,84.15,eletronicos,RS,Novo,SEO,0
110151,2025-03-20T22:00:00.000000000,12:00,doming,seo,mobile,2.5,12.41,10,0,0,192.93,Não,53.87,256.47,48.3,-0.98,59.71,BELEZA,PE,novo,Email,0
101191,2025-01-05T22:00:00.000000000,99:13:00,2feira,email,mobile,5.28,27.59,12,1,1,449.5,0,17.16,431.09,122.29,1.44,54.09,casa,SP,novo,SEO,0
107418,2025-03-05T06:00:00.000000000,12:00,2feira,Paid,mob,4.63,35.18,15,1,1,160.38,Não,37.99,163.37,100.57,-0.82,51.56,eletronico,RJ,Novo,Ads,1
106982,2025-02-22T15:00:00.000000000,12:00,doming,Paid,desktop,1.75,79.94,14,0,1,173.2,0,-2.19,188.02,-1.4,01.05,11.84,BELEZA,SC,novo,SEO,0
101104,2025-04-28T20:00:00.000000000,12:00,seg,Social,desk,6.16,47.53,7,1,1,433.54,nao,18.8,396.55,108.71,-0.05,85.25,eletronicos,RJ,recorrente,SEO,0
100671,2025-04-04T17:00:00.000000000,12:00,2feira,Dirct,mob,7.36,50.26,4,1,0,287.16,sim,24.36,233.83,100.49,-0.14,7.98,BELEZA,PR,novo,SEO,0
105008,2025-04-24T16:00:00.000000000,12:00,terca,Paid,MOBILE,1.85,63.79,6,1,0,425.43,sim,32.31,413.05,93.44,-0.72,21.84,BELEZA,PR,Novo,Social,1
104950,2025-01-11T05:00:00.000000000,12:00,seg,seo,MOBILE,5.27,24.29,5,1,0,189.82,Não,,266.72,44.15,0.83,72.12,eletronicos,PR,recorrente,Direct,0
116819,2025-02-27T02:00:00.000000000,99:13:00,seg,ORGANIC,cel,2.57,4.68,0,1,1,149.24,0,21.13,42.46,122.37,1.51,47.81,BELEZA,PR,Novo,SEO,1
117877,2025-03-21T17:00:00.000000000,12:00,2feira,Social,MOBILE,06.09,30.34,13,0,1,474.34,0,32.65,502.82,110.93,-0.24,54.42,moda,RJ,novo,Ads,0
116363,2025-02-23T07:00:00.000000000,26:30:00,doming,Email,Desktop,6.16,14.14,8,0,0,410.53,nao,23.96,527.73,145.54,0.64,76.57,moda,PE,recorrente,Social,0
